listing_id,host_id,location_id,room_type_id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
4500272,2829908,6151,2,149,2,1,0.02,0
4500615,6519939,6152,2,320,3,0,0,0
4500794,23342156,6153,1,75,1,9,0.2,0
4500897,2781725,6154,2,115,7,6,0.11,183
4501164,17074459,6155,1,97,3,64,1.15,0
4502339,23349530,6156,3,80,1,0,0,59
4502545,23084155,6157,2,275,2,20,0.45,0
4503472,23353897,6158,2,163,4,58,1.38,132
4504049,16151285,6159,1,55,28,27,0.53,338
4504353,1607087,6160,1,75,2,2,0.04,0
4504493,10303277,6161,2,110,5,0,0,0
4507262,2282450,6162,2,247,2,21,0.41,173
4508885,301549,6163,2,180,14,0,0,0
4509357,15313939,6164,1,69,1,22,0.47,365
4509500,2119276,6165,2,150,30,7,0.15,339
4509560,2119276,6166,2,140,30,9,0.17,344
4509664,23383529,6167,2,205,2,6,0.13,0
4512045,13282162,6168,2,148,3,35,0.63,207
4512093,11760806,6169,1,299,1,1,0.64,88
4512329,16685925,6170,1,49,3,3,0.05,0
4513084,23401472,6171,2,150,30,1,0.03,244
4513190,23401743,6172,2,195,2,0,0,0
4514042,3709510,6173,1,80,1,4,0.34,342
4516766,3388950,6174,1,68,5,81,1.47,83
4516939,3388950,6175,1,72,5,89,1.65,322
4517117,16480700,6176,1,97,2,146,2.59,83
4517177,23419852,6177,2,170,2,84,1.51,178
4517848,7245581,6178,2,67,74,7,0.14,251
4518242,23424461,6179,2,80,1,3,0.05,0
4519764,16310013,6180,1,29,7,0,0,0
4520113,22880393,6181,1,120,3,66,1.27,295
4520449,9196903,6182,1,100,1,0,0,0
4520941,23439479,6183,1,250,3,18,0.35,336
4523324,20019392,6184,1,200,2,109,2.15,336
4524289,2138902,6185,1,90,1,0,0,0
4525475,12149644,6186,2,125,1,0,0,0
4525589,20627511,6187,2,90,3,0,0,0
4530085,2277244,6188,2,180,1,2,0.05,0
4530154,3201774,6189,1,53,1,105,2.11,137
4530160,9997747,6190,2,200,3,7,0.12,0
4530432,7245581,6191,2,66,180,7,0.14,330
4531802,6197480,6192,2,200,2,0,0,0
4531990,23497375,6193,1,75,1,0,0,0
4532435,13888249,6194,2,165,3,15,0.27,158
4532913,20164579,6195,1,45,1,170,5.9,245
4533010,23503432,6196,2,80,1,150,2.68,35
4536637,11010205,6197,1,125,2,4,0.07,0
4537198,6926899,6198,1,90,3,4,0.07,0
4537297,1509863,6199,2,40,7,53,0.94,10
4537389,22927481,6200,1,400,3,0,0,0
4537500,3250450,6201,1,39,31,2,0.04,310
4537520,8737911,6202,2,125,1,2,0.04,0
4538012,12879538,6203,1,85,1,21,0.38,343
4538019,22384027,6204,1,39,1,130,2.32,26
4538238,3473330,6205,2,150,2,23,0.41,12
4538274,23532244,6206,2,100,2,18,0.38,83
4538901,4806989,6207,2,189,1,0,0,0
4539483,2968247,6208,2,99,3,18,0.33,0
4539520,23538896,6209,2,167,4,6,0.12,0
4539906,23540800,6210,2,205,2,0,0,0
4540852,10718241,6211,1,50,1,0,0,0
4541102,23548583,6212,2,109,30,23,0.44,221
4541187,23185328,6213,2,127,2,12,0.25,0
4545882,23569951,6214,2,220,3,28,0.5,293
4545999,23570473,6215,1,45,1,22,0.96,339
4546034,23570593,6216,1,75,2,24,0.44,321
4546721,23573737,6217,2,120,5,1,0.02,0
4547143,23575706,6218,1,55,1,0,0,0
4547273,10411359,6219,2,120,3,33,0.62,0
4549155,1443186,6220,2,108,4,3,0.07,0
4549248,22089583,6221,2,200,3,3,0.05,0
4549555,6571805,6222,3,55,2,54,1.4,336
4549557,23588055,6223,1,205,2,3,0.05,364
4549627,2748575,6224,1,129,4,0,0,0
4549930,19196381,6225,2,150,3,74,1.33,263
4550015,15778416,6226,1,110,1,0,0,0
4550041,23591164,6227,1,65,1,356,6.31,341
4550494,785283,6228,2,150,28,50,0.89,38
4550557,23591164,6229,1,65,1,426,7.53,312
4550602,23533897,6230,1,75,1,77,1.4,340
4550747,23533897,6231,1,85,2,37,0.67,325
4553528,2480939,6232,1,58,1,210,3.8,217
4553721,2480939,6233,1,90,1,194,3.81,229
4554473,20042936,6234,2,120,5,1,0.03,0
4554577,22568612,6235,2,115,6,3,0.06,0
4555241,23342410,6236,2,99,2,0,0,0
4555470,22348314,6237,2,105,25,14,0.27,277
4556564,23612276,6238,1,69,7,15,0.27,213
4556760,3074432,6239,1,80,1,0,0,0
4557206,6246089,6240,2,125,5,27,0.5,2
4557370,7257731,6241,2,90,7,7,0.15,249
4558046,23629361,6242,2,80,7,0,0,0
4559096,23635670,6243,1,125,1,186,3.33,271
4563401,22885233,6244,2,215,6,39,1.57,24
4564292,23659408,6245,2,107,21,193,3.42,310
4564695,619991,6246,1,89,4,91,1.86,16
4564840,1019170,6247,2,175,2,81,1.59,0
4565734,54712,6248,2,245,3,0,0,280
4566340,54712,6249,2,245,3,0,0,0
4566571,3814458,6250,2,450,3,12,0.23,0
4566818,23671946,6251,1,100,3,0,0,0
4566989,23673285,6252,2,98,6,38,0.67,306
4567433,22384027,6253,1,39,1,89,1.57,0
4567518,23671946,6254,2,160,4,10,0.43,0
4567703,22935835,6255,2,150,2,0,0,0
4567765,1277144,6256,2,299,2,63,1.15,210
4567820,5650951,6257,1,75,8,6,0.14,0
4571518,23697064,6258,1,99,5,1,0.02,0
4571925,23699355,6259,2,165,2,40,0.73,0
4572225,14768898,6260,2,145,1,12,0.21,0
4573728,23708028,6261,2,239,3,145,2.63,1
4573897,21935479,6262,1,76,2,70,1.37,352
4574224,11308807,6263,1,65,1,0,0,0
4574225,20559017,6264,1,60,30,2,0.04,312
4575364,23038979,6265,2,50,3,114,2.02,18
4576206,22017065,6266,2,250,3,27,0.49,266
4576821,4362140,6267,2,140,3,11,0.2,0
4578471,4263114,6268,2,125,5,5,0.09,0
4581479,23748343,6269,3,80,1,0,0,0
4581788,21600904,6270,1,150,1,0,0,0
4581942,4618480,6271,1,75,1,0,0,0
4582087,23751556,6272,1,200,4,0,0,0
4582684,23754530,6273,2,150,2,99,1.77,246
4582781,6780571,6274,2,220,2,79,1.62,143
